,length,tweets
28,102,彼女はルカに自らの姓マニャーニを名乗らせた（奇しくも、私生児としてアンナを生んだ実母マリーナが、自らの姓を名乗らせたのと同じであった）。- アンナ・マニャーニ http://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%B3%E3%83%8A%E3%83%BB%E3%83%9E%E3%83%8B%E3%83%A3%E3%83%BC%E3%83%8B
29,103,本形式の製造目的は重安駅 - 周防富田駅（現在の新南陽駅）間の石灰石輸送用であったが、奇しくも落成後にはこの計画がなくなってしまった。- 国鉄ホキ2000形貨車 http://ja.wikipedia.org/wiki/%E5%9B%BD%E9%89%84%E3%83%9B%E3%82%AD2000%E5%BD%A2%E8%B2%A8%E8%BB%8A
30,85,川にいた5人が流され、死亡した（奇しくも阪神大水害からちょうど70年目に起こった惨事となってしまった）。- 都賀川 http://ja.wikipedia.org/wiki/%E9%83%BD%E8%B3%80%E5%B7%9D
31,77,1806年に亡くなった。享年45。奇しくも、日本人として初めて世界一周をした4名のうちの1人となった。- 儀兵衛 http://ja.wikipedia.org/wiki/%E5%84%80%E5%85%B5%E8%A1%9B
32,90,陽明から「曰仁は我が門の顔回だ」と評されたが、奇しくも顔回と同じく31歳で病没し、陽明は食事も喉を通らぬほどに悲しんだという。- 徐愛 http://ja.wikipedia.org/wiki/%E5%BE%90%E6%84%9B
33,107,今作はタイアップ先のアニメの放送がある金曜日に発売されたが、奇しくも発売日の1998年4月24日は第4話「ヤシガニ屠る」が放送された日である。- ～infinity～∞ http://ja.wikipedia.org/wiki/%E3%80%9Cinfinity%E3%80%9C%E2%88%9E
34,149,旧バンダイと旧ナムコの経営統合は、奇しくもセガとの合併に失敗した者同士による縁組みだったが、統合成功の背景にあるのは、両者経営陣のリーダーシップ、重複の少ない事業部門だったといわれる。- バンダイナムコホールディングス http://ja.wikipedia.org/wiki/%E3%83%90%E3%83%B3%E3%83%80%E3%82%A4%E3%83%8A%E3%83%A0%E3%82%B3%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9
35,129,奇しくもスラヴ系国家の国旗の配色（汎スラヴ色）と似ており、また東南アジアに居住するカレン族の民族旗と配色・デザインが全く同じだが、無関係である。- 沖縄旗 http://ja.wikipedia.org/wiki/%E6%B2%96%E7%B8%84%E6%97%97
36,123,実家で飼っているネコの名前が「リティ」であり、奇しくも2007シーズンから2008シーズン途中まで自身の指揮官かつ、所属クラブのレジェンドのピエール・リトバルスキーの愛称と同じものである。- 田中佑昌 http://ja.wikipedia.org/wiki/%E7%94%B0%E4%B8%AD%E4%BD%91%E6%98%8C
37,101,奇しくもおはスタを卒業した日の昼には日本テレビ放送網|日本テレビ『ザ・ワイド』の「親子でめざせ!アイドルの道」という特集に母親と一緒に出演した。- 下垣真香 http://ja.wikipedia.org/wiki/%E4%B8%8B%E5%9E%A3%E7%9C%9F%E9%A6%99
38,125,しかし、漫画に専念したい理由で降板し、3枠解答者を黒鉄と同じ高知県出身の漫画家はらたいらに譲った。奇しくもはらたいらに代わってから同番組がTBSの人気番組としての地位に立ち上がることになった。- 黒鉄ヒロシ http://ja.wikipedia.org/wiki/%E9%BB%92%E9%89%84%E3%83%92%E3%83%AD%E3%82%B7
39,120,なお、組の優勝者として、それぞれ本戦トーナメントに進出したが、いずれも初戦で敗退している。その相手は奇しくも、2名とも弟弟子であった（第18期で片上大輔、第21期では糸谷哲郎に敗退）。- 増田裕司 http://ja.wikipedia.org/wiki/%E5%A2%97%E7%94%B0%E8%A3%95%E5%8F%B8
40,109,奇しくも同グループの元ボーカリスト上杉昇も2006年12月第1週にデビュー15周年記念としてカバーアルバム『SPOILS』を発売している。- INNOCENT SORROW http://ja.wikipedia.org/wiki/INNOCENT%20SORROW
41,82,奇しくも、上述大石も同様に9回戦でC級1組への昇級を決め、同門である澤田と大石の同時昇級は2回目となった。- 澤田真吾 http://ja.wikipedia.org/wiki/%E6%BE%A4%E7%94%B0%E7%9C%9F%E5%90%BE
42,91,1719年 - ダニエル・デフォーの『ロビンソン・クルーソーの生涯と奇しくも驚くべき冒険』が刊行。- 4月25日 http://ja.wikipedia.org/wiki/4%E6%9C%8825%E6%97%A5
43,113,奇しくも最終決戦でギンガナムを倒したロランを迎えたのはフラット2番機（ロランが地球に来る際に乗ってきた機体）に乗った彼女であった。- ソシエ・ハイム http://ja.wikipedia.org/wiki/%E3%82%BD%E3%82%B7%E3%82%A8%E3%83%BB%E3%83%8F%E3%82%A4%E3%83%A0
44,122,密かに忠彦に思いを寄せるが、忠彦は俊子と結婚することとなる。しのぶは身を引いて田舎へ戻り地元の男と結婚するがその生活は幸せと言えるものではなかった。戦後の混乱を経て奇しくも忠彦と再会するが…。- しのぶ http://ja.wikipedia.org/wiki/%E3%81%97%E3%81%AE%E3%81%B6
45,79,奇しくも3年前に暗殺された弟の時実と同日の死であった。- 北条時氏 http://ja.wikipedia.org/wiki/%E5%8C%97%E6%9D%A1%E6%99%82%E6%B0%8F
46,91,逆転昇段したのは、当期初参加の三枚堂達也であり、奇しくも1年前に自身が逃した「1期抜け」を達成させる立役者となってしまった。- 増田康宏 http://ja.wikipedia.org/wiki/%E5%A2%97%E7%94%B0%E5%BA%B7%E5%AE%8F
47,90,奇しくも西田常不軽無学大師三十三回忌にあたる同年、大師亡きあと護り続けてきた本流としての《証》を増子正学より両師に託された。- 法師宗 http://ja.wikipedia.org/wiki/%E6%B3%95%E5%B8%AB%E5%AE%97
48,138,1933年（昭和8年）の陸軍武道大会で優勝。翌1934年（昭和9年）には皇太子殿下御誕生奉祝天覧武道大会の府県選士の部で優勝して「昭和の大剣士」と謳われた。この東京予選の決勝の相手は奇しくも従弟の森寅雄だった。- 野間恒 http://ja.wikipedia.org/wiki/%E9%87%8E%E9%96%93%E6%81%92
49,127,1984年10月23日、滞在していたドイツのホテルで心筋梗塞によって死去しているのが発見された。61歳没。また、奇しくもこの日はトリュフォーが死去したわずか2日後のことであった。- オスカー・ウェルナー http://ja.wikipedia.org/wiki/%E3%82%AA%E3%82%B9%E3%82%AB%E3%83%BC%E3%83%BB%E3%82%A6%E3%82%A7%E3%83%AB%E3%83%8A%E3%83%BC
50,138,1933年（昭和8年）の陸軍武道大会で優勝。翌1934年（昭和9年）には皇太子殿下御誕生奉祝天覧武道大会の府県選士の部で優勝して「昭和の大剣士」と謳われた。この東京予選の決勝の相手は奇しくも従弟の森寅雄だった。- 野間恒 http://ja.wikipedia.org/wiki/%E9%87%8E%E9%96%93%E6%81%92
51,109,両番組とも10年以上に渡って長期に番組が続いており、奇しくも当番組の初代司会者と2代目司会者が同じTBS内で「テレビからラジオへ」という道を歩んでいる。- ビッグモーニング http://ja.wikipedia.org/wiki/%E3%83%93%E3%83%83%E3%82%B0%E3%83%A2%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0
52,137,"奇しくもロマン派音楽|イタリア・ロマン派の音楽家ジュゼッペ・ヴェルディの名前と合致したことから、統一戦争の頃には両者を讃えて「""viva! verdi!""」の言葉がイタリア全土で流行した。- ヴィットーリオ・エマヌエーレ2世 http://ja.wikipedia.org/wiki/%E3%83%B4%E3%82%A3%E3%83%83%E3%83%88%E3%83%BC%E3%83%AA%E3%82%AA%E3%83%BB%E3%82%A8%E3%83%9E%E3%83%8C%E3%82%A8%E3%83%BC%E3%83%AC2%E4%B8%96"
53,138,和田京平レフェリー40周年&還暦記念大会の第一試合がデビュー戦でありデビュー戦のレフェリーが和田京平、場所が後楽園ホール、コスチュームが青のショートタイツという条件は、全日本プロレス社長の秋山準と奇しくも同じである。- 青柳優馬 http://ja.wikipedia.org/wiki/%E9%9D%92%E6%9F%B3%E5%84%AA%E9%A6%AC
54,131,辛くも撃沈された船から逃れた男女数名は、1隻の救命艇に乗り合わせる。攻撃したUボートも連合国軍の攻撃で撃沈されるが、奇しくもその乗組員が新たな避難者として救命艇に加わる。- 救命艇 (映画) http://ja.wikipedia.org/wiki/%E6%95%91%E5%91%BD%E8%89%87%20%28%E6%98%A0%E7%94%BB%29
55,132,『トミカヒーロー レスキューフォース』のクランクイン前に脚を骨折し、ボルトをはめ込んで撮影に臨んでいた（クランクアップ後に取り外された）。奇しくも、同作の映画版で共演した藤岡弘、もかつて同様の経験をしていた。- 猪塚健太 http://ja.wikipedia.org/wiki/%E7%8C%AA%E5%A1%9A%E5%81%A5%E5%A4%AA
56,73,奇しくもクラーレイは、第二図南丸を撃破した時のアンバージャックの幹部だった。- ピンタド (潜水艦) http://ja.wikipedia.org/wiki/%E3%83%94%E3%83%B3%E3%82%BF%E3%83%89%20%28%E6%BD%9C%E6%B0%B4%E8%89%A6%29
57,119,惑星同士の通過・掩蔽は、1818年1月3日以来247年ぶりのことで、奇しくも1818年の通過も金星が木星面を通過するものだった。- 2060年代 http://ja.wikipedia.org/wiki/2060%E5%B9%B4%E4%BB%A3
58,84,異例の2作品同時グランプリ受賞となった。奇しくも2作品とも「ブランドを語ることで今の日本を語る」。- 全日本シーエム放送連盟 http://ja.wikipedia.org/wiki/%E5%85%A8%E6%97%A5%E6%9C%AC%E3%82%B7%E3%83%BC%E3%82%A8%E3%83%A0%E6%94%BE%E9%80%81%E9%80%A3%E7%9B%9F
59,129,1959年 - 9月23日、ラジオ公開録音で『お血脈』を口演中に脳出血で倒れ、10月8日日比谷病院にて死去。奇しくも師匠4代目柳枝もNHKのラジオ口演中に脳卒中で倒れていた。- 春風亭柳枝 (8代目) http://ja.wikipedia.org/wiki/%E6%98%A5%E9%A2%A8%E4%BA%AD%E6%9F%B3%E6%9E%9D%20%288%E4%BB%A3%E7%9B%AE%29
60,90,奇しくも、だんご3兄弟が番組に登場してからちょうど10年（「だんご3兄弟」は1999年1月の歌である。)- ドンスカパンパンおうえんだん http://ja.wikipedia.org/wiki/%E3%83%89%E3%83%B3%E3%82%B9%E3%82%AB%E3%83%91%E3%83%B3%E3%83%91%E3%83%B3%E3%81%8A%E3%81%86%E3%81%88%E3%82%93%E3%81%A0%E3%82%93
61,123,奇しくもこの日は、1986年12月9日に講談社を舞台にした『フライデー襲撃事件』の主犯・ビートたけしに有罪判決が下された日であった。- 野間惟道 http://ja.wikipedia.org/wiki/%E9%87%8E%E9%96%93%E6%83%9F%E9%81%93
62,106,ポコでの活動と並行して、スティーリー・ダンらとも共演した。1978年、イーグルスに加入。この時も奇しくもランディ・マイズナーの後釜であった。- ティモシー・B・シュミット http://ja.wikipedia.org/wiki/%E3%83%86%E3%82%A3%E3%83%A2%E3%82%B7%E3%83%BC%E3%83%BBB%E3%83%BB%E3%82%B7%E3%83%A5%E3%83%9F%E3%83%83%E3%83%88
63,131,ある会合でシャア・アズナブルに自分と同志であること告げる（奇しくも反ザビ家思想であるのは正解であった）が、その言がキシリア・ザビの耳に届いたことで激戦区へ左遷される。- 機動戦士ガンダムMSV戦記 ジョニー・ライデン http://ja.wikipedia.org/wiki/%E6%A9%9F%E5%8B%95%E6%88%A6%E5%A3%AB%E3%82%AC%E3%83%B3%E3%83%80%E3%83%A0MSV%E6%88%A6%E8%A8%98%20%E3%82%B8%E3%83%A7%E3%83%8B%E3%83%BC%E3%83%BB%E3%83%A9%E3%82%A4%E3%83%87%E3%83%B3
64,98,奇しくも、同じ頃来日したドイツ人建築家のブルーノ・タウトは、桂離宮等の数寄屋造の中に、モダニズム建築に通じる近代性があることを評価した。- 吉田五十八 http://ja.wikipedia.org/wiki/%E5%90%89%E7%94%B0%E4%BA%94%E5%8D%81%E5%85%AB
65,94,また2015年のオーストラリアGPでは、奇しくも父と同じくマクラーレンのテストドライバーの立場から代役出走を果たした。- ケビン・マグヌッセン http://ja.wikipedia.org/wiki/%E3%82%B1%E3%83%93%E3%83%B3%E3%83%BB%E3%83%9E%E3%82%B0%E3%83%8C%E3%83%83%E3%82%BB%E3%83%B3
66,135,その後グリーグはこのピアノ二重奏版を作成して、スウェーデン学士院のコンクールに提出したところ、首位を勝ち取り、ストックホルムにてピアノ二重奏曲として出版された。奇しくも審査員の一人はゲーゼであったという。- 秋に (グリーグ) http://ja.wikipedia.org/wiki/%E7%A7%8B%E3%81%AB%20%28%E3%82%B0%E3%83%AA%E3%83%BC%E3%82%B0%29
67,94,13歳の時、街の通りを歩いていたところをスカウトされた。奇しくも、ジゼル・ブンチェンをスカウトした人物であった。- キャロライン・トレンティーニ http://ja.wikipedia.org/wiki/%E3%82%AD%E3%83%A3%E3%83%AD%E3%83%A9%E3%82%A4%E3%83%B3%E3%83%BB%E3%83%88%E3%83%AC%E3%83%B3%E3%83%86%E3%82%A3%E3%83%BC%E3%83%8B
68,73,これが遺作となった。ちなみに第1回放送日は奇しくも大竹の30回目の誕生日だった。- モナリザたちの冒険 http://ja.wikipedia.org/wiki/%E3%83%A2%E3%83%8A%E3%83%AA%E3%82%B6%E3%81%9F%E3%81%A1%E3%81%AE%E5%86%92%E9%99%BA
69,92,井沢八郎が亡くなった1月17日は、奇しくも娘・工藤夕貴の誕生日であり、晩年和解を果たした夕貴は実父の死に人目を憚らず悲嘆した。- 井沢八郎 http://ja.wikipedia.org/wiki/%E4%BA%95%E6%B2%A2%E5%85%AB%E9%83%8E
70,105,奇しくも、2011年の同時期にKENSOが結成したTEAM ビチッと!と同じスタート戦を、当時裏切られたKENSO本人が演出することになってしまった。- Xceed http://ja.wikipedia.org/wiki/Xceed
71,70,その後、現停留場名に改称。奇しくもほぼ開業当初の停留場名に戻った形となる。- 荒川遊園地前停留場 http://ja.wikipedia.org/wiki/%E8%8D%92%E5%B7%9D%E9%81%8A%E5%9C%92%E5%9C%B0%E5%89%8D%E5%81%9C%E7%95%99%E5%A0%B4
72,161,2007年3月15日にようやく現場入りし、議員や区長、団体の代表者ら約20人が出席した約40分間の懇談会を開催したが、奇しくもこの日は十津川村内の国道168号宇宮原バイパスの完成供用開通式（1030）の日であった。- 柿本善也 http://ja.wikipedia.org/wiki/%E6%9F%BF%E6%9C%AC%E5%96%84%E4%B9%9F
73,96,途中連敗も経験したが、最終的にこの場所は5勝2敗で終えた。。ちなみに、5勝2敗の星の並び方は、奇しくも遠藤の初土俵場所と全く同じである。- 大翔丸翔伍 http://ja.wikipedia.org/wiki/%E5%A4%A7%E7%BF%94%E4%B8%B8%E7%BF%94%E4%BC%8D
74,66,奇しくも当時マカロック自身がジャイルズのファンでもあった。- アンドリュー・マカロック http://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%B3%E3%83%89%E3%83%AA%E3%83%A5%E3%83%BC%E3%83%BB%E3%83%9E%E3%82%AB%E3%83%AD%E3%83%83%E3%82%AF
75,126,奇しくも同年11月に放送されたNHK大阪の全国放送番組「関西ウィークわが心の大阪メロディー」では多数のリクエストを集めて「大阪すずめ」が選出された。- 大阪すずめ http://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E3%81%99%E3%81%9A%E3%82%81
76,87,奇しくも同日は、極東国際軍事裁判で死刑判決を受けた東条英機元首相らA級戦犯7人の絞首刑が執行された日でもあった。- 馴れ合い解散 http://ja.wikipedia.org/wiki/%E9%A6%B4%E3%82%8C%E5%90%88%E3%81%84%E8%A7%A3%E6%95%A3
77,135,このことにより、奇しくも旧大日本無尽の流れ(日本相互銀行→太陽銀行→太陽神戸銀行→太陽神戸三井銀行→さくら銀行→三井住友銀行)と、日本無尽に参加しなかった相互無尽の流れが、一つの銀行として誕生することとなった。- 太平洋銀行 http://ja.wikipedia.org/wiki/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E9%8A%80%E8%A1%8C
78,126,11カ国（東ドイツはジュニアチームも参加）12チームが参加して争われ、地元東ドイツのレギュラーチームが優勝、奇しくも同ジュニアチームも最下位という結果だった。- 1969年ワールドカップバレーボール男子大会 http://ja.wikipedia.org/wiki/1969%E5%B9%B4%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%82%AB%E3%83%83%E3%83%97%E3%83%90%E3%83%AC%E3%83%BC%E3%83%9C%E3%83%BC%E3%83%AB%E7%94%B7%E5%AD%90%E5%A4%A7%E4%BC%9A
